Γενέθλιος Πλανήτης,Τωρινός Πλανήτης,Όψη,Τίτλος,Κειμενο
sun,sun,0,Διελαύνων Ήλιος σε σύνοδο με τον γενέθλιο Ήλιο,"Μία αρκετά δυναμική στιγμή για εσένα καθώς η ζωτικότητα σου αυξάνεται κατακόρυφα, το ίδιο και η διάθεση σου. Κατακλύζεσαι από ένα κύμα υπέρμετρης ενέργειας, αισιοδοξίας, και αισθάνεσαι ότι μπορείς να καταφέρεις τα πάντα. Λίγη προσοχή μόνο στην παρορμητικότητα και στον τρόπο αντίδρασης σου. Ευνοούνται τα νέα ξεκινήματα που αφορούν επαγγελματικούς σκοπούς, και ιδιαίτερα ό,τι σχετίζεται με την έμφαση της προσωπικής σου προβολής. Ανοίγεις έναν νέο κύκλο εμπλουτισμένο από ανανέωση, εμπειρία και γνώση."
sun,sun,180,Διελαύνων Ήλιος σε αντίθεση με τον γενέθλιο Ήλιο,Αισθάνεσαι ότι ο κόπος που βάζεις για να πετύχεις τους στόχους σου δεν αποδίδει στο μέγιστο. Κουράζεσαι ευκολότερα και διακινδυνεύεις να βγεις εκτός πορείας. Αυτό που χρειάζεται να κάνεις είναι να επαναπροσδιορίσεις κατά πόσο επιθυμείς πραγματικά αυτά που έχεις θέσει σαν στόχο. Η αυτοκριτική και η προσωπική εμβάθυνση θα λειτουργήσουν στο ξεκαθάρισμα των πράξεων και των ατομικών σου απόψεων. Μην αφήνεις μερικά εμπόδια να σταθούν ως κριτήριο της διάθεσης σου. Να σε διακατέχει μία θετική αίσθηση ότι και αν γίνει!
sun,sun,120,Διελαύνων Ήλιος σε τρίγωνο με τον γενέθλιο Ήλιο,"Η εναρμόνιση με τους ρυθμούς της καθημερινότητας σε βοηθάει να λειτουργείς περισσότερο παραγωγικά σε όλους τους τομείς της ζωής σου. Συνεπακόλουθα, η αυτοπεποίθηση και η αυτοεκτίμηση σου, δημιουργούν και μεταδίδουν μία αύρα ευδιαθεσίας και θετικότητας στους ανθρώπους που σε περιβάλλουν. Θα παρατηρήσεις εξελίξεις ενώ παράλληλα θα σου παρουσιαστούν πολλές ευκαιρίες στον προσωπικό και στον εργασιακό τομέα. Ευνοούνται επαγγελματικά ξεκίνηματα ή νέες συνεργασίες. Προσπάθησε μόνο να αποφύγεις να πάρεις ως δεδομένα κάποια πράγματα, τα οποία, μπορεί να φανούν εν τέλει χρήσιμα ή ουσιώδη."
sun,sun,60,Διελαύνων Ήλιος σε εξάγωνο με τον γενέθλιο Ήλιο,"Οι στόχοι σου κυλούν με ροή και ομαλό ρυθμό. Ως επακόλουθο, λειτουργείς αρμονικά με τις συνθήκες που επικρατούν τριγύρω σου. Παράλληλα όμως, σου δημιουργεί μία αίσθηση άγχους για φαινόμενα που θα σε οδηγήσουν στη μονιμότητα ή στην παθητικότητα. Δεν θέλεις να καταλήξεις σαν ριζωμένο δέντρο σε ένα σημείο. Χρειάζεται συνεπώς να αξιοποιήσεις το κουράγιο σου, διότι θα σου παρουσιαστούν πολλές ευκαιρίες, επομένως, θα είναι στο χέρι σου να τις αξιοποιήσεις. Εάν επιθυμείς να επιφέρεις την αλλαγή στην ζωή σου, αυτό που έχεις να κάνεις είναι να έχεις τα μάτια σου ανοιχτά και να υποδεχτείς την αλλαγή συνειδητά."
sun,sun,90,Διελαύνων Ήλιος σε τετράγωνο με τον γενέθλιο Ήλιο,"Υπάρχει μία δυσκολία στην έκφραση της ενέργειας σου και ο τρόπος που διαχειρίζεσαι τα γεγονότα γύρω σου είναι αμφιλεγόμενος. Θέλεις να λειτουργείς βοηθητικά με τους ανθρώπους που σε περιβάλλουν και επιθυμείς να κυλούν ομαλά οι στόχοι σου. Σε περιορίζει αρκετά όμως ο εγωκεντρισμός και η αδιαλλαξία σου. Έχεις αρκετή νευρικότητα και επακόλουθα οι στρεσογόνοι παράγοντες σε εκτοπίζουν από την πορεία σου. Αν επιθυμείς να αξιοποιήσεις στο μέγιστο δυνατό τις ευκαιρίες που σου παρουσιάζονται, χρειάζεται να κάνεις έναν καλύτερο προγραμματισμό και να θέσεις τις κατάλληλες προτεραιότητες ώστε να μην πραγματοποιείται κατασπατάληση ενέργειας. "
sun,sun,150,Διελαύνων Ήλιος σε χιαστί με τον γενέθλιο Ήλιο,"Άμεσα ή έμμεσα, ελοχεύει μία δυσκολία στην ανίχνευση του λόγου που λειτουργούν τα πράγματα γύρω σου. Έχεις την φιλοσοφία ότι όλα συμβαίνουν για έναν λόγο, αλλά εσύ πως συμβάλλεις σε αυτό; Χρειάζεται να εξασκήσεις την αυτοκριτική σου και την πνευματική σου οξύνοια. Κάνε για λίγο μία στάση και αναλογίσου εάν οι στόχοι που έχεις θέσει αλλά και οι προτεραιότητες σου πληρούν τις προϋποθέσεις που είχες βάλει εξαρχής. Άφησε την άγνοια στην άκρη και βασίσου στην εσωτερική σου ενθάρρυνση. Μπορείς να αξιοποιήσεις την πρωτοβουλία σου για να πραγματώσεις πράγματα εάν κάνεις μία συνειδητή προσπάθεια. "
sun,sun,30,Διελαύνων Ήλιος σε ημιεξάγωνο με τον γενέθλιο Ήλιο,"Οι καταστάσεις που σου συμβαίνουν είναι σχετικά θετικές και ευχάριστες. Ο τρόπος που λειτουργείς όμως απέναντι τους μπορεί να χαρακτηριστεί αρκετά αμφίσημος. Οι στόχοι και οι επιθυμίες σου σε προσωπικό και επαγγελματικό επίπεδο δρομολογούνται με αρκετή ευκολία, για κάποιο λόγο όμως δυσανασχετείς και δημιουργείς προβλήματα από το πουθενά. Εάν απεχθάνεσαι την στασιμότητα, την παθητικότητα ή την μονιμότητα, αυτό που μπορείς να κάνεις είναι να εξασκήσεις την συνειδητή επιλογή της πρωτοβουλίας σου, ώστε να επιφέρεις την επιθυμητή αλλαγή - τίποτα δεν θα δημιουργηθεί από μόνο του χωρίς κάποιο ερέθισμα ή κάποια αρχή. "
sun,sun,72,Διελαύνων Ήλιος σε πεντάγωνο με τον γενέθλιο Ήλιο,"Είναι μία ιδιαίτερα παραγωγική μέρα για εσένα! Έχεις την δυνατότητα να αξιοποιήσεις όλες τις ευκαιρίες που σου παρουσιάζονται - και δεν θα είναι λίγες - είτε σε προσωπικό είτε σε επαγγελματικό επίπεδο. Ο τρόπος που σκέφτεσαι έρχεται σε παραλληλία με τον συναισθηματικό σου κόσμο, με αποτέλεσμα, να βρίσκεις την ιδανική ισορροπία όποια και αν είναι η δραστηριότητα σου ή οποιοδήποτε άτομο και αν συναναστρέφεσαι. Η πνευματική και η νοητική σου οξύνοια μπορούν να σταθούν ως ένας καλός ""σύμβουλος"" για την προσωπική πορεία που χαράζεις. Έχεις αυτοπεποίθηση, πιστεύεις στις δυνάμεις σου και κυριολεκτικά ότι βάλεις σαν στόχο σήμερα μπορείς να το πετύχεις! "
sun,sun,45,Διελαύνων Ήλιος σε ημιτετράγωνο με τον γενέθλιο Ήλιο,"Οι ρυθμοί της σημερινής μέρας μπορεί να σου προκαλέσουν ένα μικρό άγχος καθώς θα σε αποδιοργανώσουν λόγω των έντονων καταιγιστικών πληροφοριών. Αισθάνεσαι ότι δεν μπορείς να συντονιστείς με αποτέλεσμα να εγκλωβίζεσαι στο εαυτό σου πολύ περισσότερο και να μην αποδίδεις το μέγιστο των δυνάμεων σου. Αυτό που χρειάζεται να κάνεις, είναι να σταθείς σε πρώτη φάση στα πόδια σου, - να συγκεντρωθείς, να σχεδιάσεις ένα πρόγραμμα θέτοντας τις κατάλλληλες προτεραιότητες και τέλος, να μπεις στην διαδικασία να το ακολουθήσεις συνειδητά. Προσπάθησε να μην περιορίζεις την έκφραση του εαυτού σου. Ο συντονισμός είναι η λέξη - κλειδί για σήμερα."
sun,sun,135,Διελαύνων Ήλιος σε ενάμιση τετράγωνο με τον γενέθλιο Ήλιο,"Ο παρορμητισμός δε θα είναι ο καλύτερος σου σύμβουλος για σήμερα. Οι ενέργειες σου θα εκφράζονται σπασμωδικά και θα έχει σαν αποτέλεσμα τις εντάσεις και την τριβή στις σχέσεις σου. Μην σε μπερδεύει η έντονη ενεργητικότητα σου, διότι, η οξύτητα της είναι ικανή να σε εκτοπίσει από την πορεία που δημιουργείς. Εάν θέλεις να παραμέινεις στην γραμμή των επιθυμιών και των στόχων σου, ακολούθησε καλύτερα ένα πρόγραμμα το οποίο ξέρεις ότι θα σου επιφέρει την ομαλότητα και όχι εμπόδια. Δράσε παραγωγικά και εποικοδομητικά και θα δεις να καρποφορούν οι πράξεις σου.  "
sun,moon,0,Διελαύνων Ήλιος σε σύνοδο με την γενέθλια Σελήνη ,"Η προσοχή σου και όλη σου η ενέργεια θα στραφεί κυρίως σε θέματα που θα δημιουργηθούν σε θέματα κατοικίας και οικογένειας. Ο συναισθηματικός σου κόσμος θα βρίσκεται σε μία εγρήγορση, κάτι το οποίο θα έχει σαν αποτέλεσμα την άμεση αντίδραση σου στις καταστάσεις, είτε πρόκειται για θετική είτε για αρνητική.  Παρόλα αυτά, η προσωπικότητα σου έρχεται σε μία ομαλή συγχώνευση με αυτά που αισθάνεσαι, επομένως, αξιοποίησε το για να πραγματώσεις ότι έχεις θέσει σαν στόχο. Προσπάθησε να αποφύγεις τις εντάσεις λόγω της παρόρμησης σου και λειτούργησε εποικοδημητικά. Πράξε με μέτρο και επιδίωξε να μείνεις μακριά από τις υπερβολές. Θα υπάρξει ένας θαυμασμός ως προς το πρόσωπο σου, καθώς εντείνεται η προσωπική σου προβολή.  "
sun,moon,180,Διελαύνων Ήλιος σε αντίθεση με την γενέθλια Σελήνη,"Σήμερα θα σημειωθούν κάποιες χαρακτηριστικές εντάσεις οι οποίες θα σε αποδιοργανώσουν από τους ρυθμούς που είχες μέχρι τώρα. Ο αποσυντονισμός αυτός θα έχει να κάνει με την ανάδειξη της προσωπικότητας σου σε αντίθεση με την προσωπικότητα των ανθρώπων που αποτελούν τις διαπροσωπικές σου σχέσεις. Θα πραγματοποιηθεί δηλαδή ένας αγώνας για την ένδειξη του πιο ισχυρού. Μην δράσεις ανταγωνιστικά! Εάν θέλεις α αποφύγεις το μελόδραμα και την ""κακοποίηση"" από αυτούς τους στρεσογόνους παράγοντες, χρειάζεται πολύ απλά να κάνεις ειρήνη και να αποδεχτείς τις αισθήσεις και τα συναισθήματα που σε διακατέχουν. Αναγνώρισε ότι δεν είσαι το τέλειο ον, ότι έχεις αδυναμίες και ελαττώματα. Ο χειρότερος σου εχθρός στην προκειμένη περίπτωση θα είναι ο εαυτός σου και όχι οι τριγύρω συντελεστές. "
sun,moon,120,Διελαύνων Ήλιος σε τρίγωνο με την γενέθλια Σελήνη,"Η ζωτικότητα, το θάρρος και η ενέργεια σου βρίσκονται στο απόγειο τους σήμερα και έχεις μία αισιόδοξη διάθεση γι' αυτό. Ο δυναμισμός σου πιάνει κορυφή και αισθάνεσαι ότι μπορείς να πετύχεις τα πάντα. Η ευχάριστη διάθεση και η θετική σου αύρα έχουν ένα μεγάλο αντόκτυπο στο περιβάλλον σου. Η έκφραση της προσωπικότητας σου έρχεται σε μία αρκετά ομαλή συγχώνευση με τον συναισθηματικό σου κόσμο, με αποτέλεσμα, να γοητεύεις και να σαγηνεύεις τα πλήθη. Είναι συνεπώς μία καλή μέρα για την ανάδειξη σου, ειδικά εάν το επάγγελμα σου σχετίζεται με την δημοσιότητα ή την συναναστροφή με πολύ κόσμο. Αυξάνεται η φήμη σου οπότε χρειάζεται μία μικρή προσοχή ώστε να μην εκτεθείς σε άκυρα γεγονότα. Διεκπαιραιώνεις άνετα αν έχεις εκκρεμότητες σε επαγγελματικό και προσωπικό επίπεδο. "
sun ,moon,60,Διελαύνων Ήλιος σε εξάγωνο με την γενέθλια Σελήνη,
sun,moon,90,Διελαύνων Ήλιος σε τετράγωνο με την γενέθλια Σελήνη,
sun,moon,150,Διελαύνων Ήλιος σε χιαστί με την γενέθλια Σελήνη ,
sun,moon,30,Διελαύνων Ήλιος σε ημιεξάγωνο με την γενέθλια Σελήνη,
sun,moon,72,Διελαύνων Ήλιος σε πεντάγωνο με την γενέθλια Σελήνη,
sun,moon,45,Διελαύνων Ήλιος σε ημιτετράγωνο με την γενέθλια Σελήνη,
sun,moon,135,Διελαύνων Ήλιος σε ενάμιση τετράγωνο με την γενέθλια Σελήνη,